last_update_date,town_number,town,total_cases,confirmed_cases,probable_cases,case_rate,total_deaths,confirmed_deaths,probable_deaths,people_tested,rate_tested_per_100k,number_of_tests,number_of_positives,number_of_negatives,number_of_indeterminates
2022-01-03,1,Andover,312,269,43,9642,4,3,1,2243,69314,7638,352,7281,5
2022-01-03,2,Ansonia,3103,2632,471,16635,35,31,4,14847,79592,62140,3735,58269,136
2022-01-03,3,Ashford,441,398,43,10364,5,4,1,3105,72973,10619,510,10099,10
2022-01-03,4,Avon,1690,1584,106,9247,76,61,15,15488,84745,59793,1959,57770,64
2022-01-03,5,Barkhamsted,325,309,16,9013,7,6,1,2487,68968,9080,379,8689,12
2022-01-03,6,Beacon Falls,888,790,98,14272,7,7,0,4580,73610,19193,1059,18094,40
2022-01-03,7,Berlin,2580,2392,188,12625,44,38,6,15122,73997,62374,3095,59221,58
2022-01-03,8,Bethany,646,584,62,11644,4,3,1,4306,77614,17873,779,17074,20
2022-01-03,9,Bethel,2718,2224,494,13727,63,49,14,16697,84328,62546,3268,59219,59
2022-01-03,10,Bethlehem,455,384,71,13374,2,2,0,2585,75985,9991,534,9441,16
2022-01-03,11,Bloomfield,3071,2857,214,14478,124,104,20,17979,84763,110052,3773,106117,162
2022-01-03,12,Bolton,494,433,61,10115,6,4,2,3648,74693,12507,589,11909,9
2022-01-03,13,Bozrah,391,367,24,14343,7,7,0,2066,75789,8276,459,7812,5
2022-01-03,14,Branford,3772,3353,419,13520,72,65,7,23592,84559,100629,4482,96068,79
2022-01-03,15,Bridgeport,29235,26245,2990,20246,359,290,69,126538,87631,558901,35975,522175,751
2022-01-03,16,Bridgewater,135,87,48,8257,0,0,0,1339,81896,4446,161,4283,2
2022-01-03,17,Bristol,9679,8549,1130,16146,170,141,29,48132,80291,228768,11808,216679,281
2022-01-03,18,Brookfield,2547,2013,534,15006,21,15,6,14719,86720,53094,3012,50043,39
2022-01-03,19,Brooklyn,1390,1338,52,16804,14,14,0,6946,83970,37007,1649,35338,20
2022-01-03,20,Burlington,1093,948,145,11263,5,5,0,7300,75227,27890,1303,26560,27
2022-01-03,21,Canaan,21,21,0,1994,0,0,0,354,33618,1131,26,1105,0
2022-01-03,22,Canterbury,763,712,51,15023,2,2,0,3816,75133,14158,895,13254,9
2022-01-03,23,Canton,866,799,67,8445,37,31,6,7600,74117,28868,989,27863,16
2022-01-03,24,Chaplin,254,238,16,11344,1,1,0,1645,73470,6262,298,5963,1
2022-01-03,25,Cheshire,3814,3331,483,13180,61,51,10,24352,84155,132767,4501,128178,88
2022-01-03,26,Chester,339,310,29,8047,17,14,3,3242,76952,14791,424,14346,21
2022-01-03,27,Clinton,1582,1474,108,12240,11,8,3,10895,84294,39831,1901,37890,40
2022-01-03,28,Colchester,1991,1784,207,12594,33,22,11,13089,82795,54135,2367,51715,53
2022-01-03,29,Colebrook,92,90,2,6571,0,0,0,814,58143,3163,101,3059,3
2022-01-03,30,Columbia,588,519,69,10931,7,7,0,4160,77338,15089,681,14400,8
2022-01-03,31,Cornwall,115,109,6,8443,1,0,1,1306,95888,3771,130,3641,0
2022-01-03,32,Coventry,1287,1120,167,10373,9,8,1,9223,74337,32272,1478,30762,32
2022-01-03,33,Cromwell,1905,1723,182,13765,58,38,20,11739,84825,56266,2289,53914,63
2022-01-03,34,Danbury,15738,14077,1661,18582,200,168,32,74366,87806,277063,19101,257584,378
2022-01-03,35,Darien,2304,2005,299,10604,11,10,1,20582,94726,72185,2822,69314,49
2022-01-03,36,Deep River,436,403,33,9813,1,1,0,3539,79653,12998,525,12459,14
2022-01-03,37,Derby,2006,1720,286,16257,21,19,2,9988,80947,40585,2427,38085,73
2022-01-03,38,Durham,932,837,95,13008,7,6,1,5804,81005,24515,1134,23366,15
2022-01-03,39,Eastford,171,162,9,9553,3,2,1,1122,62682,3768,202,3565,1
2022-01-03,40,East Granby,529,468,61,10292,3,2,1,4005,77918,14944,646,14294,4
2022-01-03,41,East Haddam,800,682,118,8892,23,11,12,6258,69557,25314,945,24353,16
2022-01-03,42,East Hampton,1478,1274,204,11547,20,14,6,9897,77320,38386,1759,36603,24
2022-01-03,43,East Hartford,9316,8619,697,18680,164,127,37,40950,82110,192527,11504,180772,251
2022-01-03,44,East Haven,5175,4470,705,18114,87,67,20,23833,83423,101004,6163,94760,81
2022-01-03,45,East Lyme,2084,1896,188,11288,54,42,12,16513,89443,75996,2470,73497,29
2022-01-03,46,Easton,835,713,122,11102,3,2,1,6539,86943,21162,998,20146,18
2022-01-03,47,East Windsor,1439,1310,129,12333,52,39,13,8482,72695,39690,1758,37882,50
2022-01-03,48,Ellington,1585,1429,156,9625,21,14,7,11252,68331,36030,1832,34171,27
2022-01-03,49,Enfield,5620,5138,482,12872,68,61,7,31305,71703,143682,6703,136798,181
2022-01-03,50,Essex,621,565,56,9313,13,12,1,5399,80969,21025,783,20228,14
2022-01-03,51,Fairfield,8717,7700,1017,14049,216,165,51,60671,97785,306594,10281,296060,253
2022-01-03,52,Farmington,2574,2320,254,10095,52,45,7,21253,83355,96523,3038,93370,115
2022-01-03,53,Franklin,290,276,14,15104,2,2,0,1381,71927,5691,345,5339,7
2022-01-03,54,Glastonbury,3624,3256,368,10510,112,91,21,27567,79946,104185,4413,99691,81
2022-01-03,55,Goshen,282,267,15,9850,1,1,0,2346,81942,8195,345,7843,7
2022-01-03,56,Granby,962,854,108,8360,31,28,3,8196,71226,29036,1134,27872,30
2022-01-03,57,Greenwich,8209,7583,626,13063,100,76,24,60634,96489,230399,9945,220290,164
2022-01-03,58,Griswold,1931,1784,147,16742,24,18,6,9612,83336,37686,2245,35427,14
2022-01-03,59,Groton,4535,4104,431,11799,98,58,40,30137,78408,122824,5437,117287,100
2022-01-03,60,Guilford,2278,2059,219,10292,37,29,8,18925,85506,75461,2674,72747,40
2022-01-03,61,Haddam,842,773,69,10277,10,5,5,6330,77261,25019,1018,23991,10
2022-01-03,62,Hamden,9172,7947,1225,15146,201,171,30,54095,89331,347032,11009,335746,277
2022-01-03,63,Hampton,296,282,14,16069,1,1,0,1764,95765,6620,346,6273,1
2022-01-03,64,Hartford,23770,22379,1391,19467,337,296,41,104924,85929,578581,29168,548769,644
2022-01-03,65,Hartland,175,163,12,8255,3,3,0,1204,56792,4313,213,4095,5
2022-01-03,66,Harwinton,651,601,50,12011,7,5,2,4064,74982,15881,780,15082,19
2022-01-03,67,Hebron,988,865,123,10396,12,9,3,7022,73885,25307,1163,24128,16
2022-01-03,68,Kent,254,215,39,9147,1,1,0,3656,131653,19133,299,18834,0
2022-01-03,69,Killingly,3087,2955,132,17807,70,50,20,13994,80722,55786,3667,52083,36
2022-01-03,70,Killingworth,645,583,62,10135,9,6,3,5013,78771,19293,746,18527,20
2022-01-03,71,Lebanon,904,828,76,12654,5,4,1,5642,78975,21844,1061,20772,11
2022-01-03,72,Ledyard,1916,1768,148,13104,12,11,1,12720,86998,46968,2251,44681,36
2022-01-03,73,Lisbon,549,511,38,13009,9,9,0,2892,68531,11943,651,11278,14
2022-01-03,74,Litchfield,837,754,83,10341,12,10,2,6446,79639,25791,983,24784,24
2022-01-03,75,Lyme,170,153,17,7340,1,0,1,1809,78109,6276,207,6067,2
2022-01-03,76,Madison,1925,1773,152,10677,38,30,8,16506,91547,66439,2319,64084,36
2022-01-03,77,Manchester,7600,6728,872,13198,167,127,40,44352,77021,187563,9194,178165,204
2022-01-03,78,Mansfield,1971,1764,207,7733,28,23,5,16177,63472,87439,2170,85216,53
2022-01-03,79,Marlborough,670,587,83,10576,26,17,9,4837,76354,21372,794,20564,14
2022-01-03,80,Meriden,11961,10867,1094,20138,177,155,22,51978,87512,267628,14583,252694,351
2022-01-03,81,Middlebury,1087,911,176,13939,21,17,4,6655,85342,29862,1342,28467,53
2022-01-03,82,Middlefield,421,376,45,9625,2,1,1,3400,77732,14062,543,13507,12
2022-01-03,83,Middletown,6552,5920,632,14164,156,121,35,40542,87643,395700,8307,387127,266
2022-01-03,84,Milford,7732,6906,826,14123,148,130,18,42149,76989,169308,9273,159884,151
2022-01-03,85,Monroe,2592,2128,464,13337,17,13,4,15915,81893,57978,3088,54848,42
2022-01-03,86,Montville,2874,2663,211,15528,40,36,4,15628,84439,82179,3345,78767,67
2022-01-03,87,Morris,233,218,15,10337,2,2,0,1693,75111,6379,267,6108,4
2022-01-03,88,Naugatuck,5530,4722,808,17777,109,96,13,25096,80674,122978,7028,115695,255
2022-01-03,89,New Britain,14276,13215,1061,19692,231,193,38,59049,81453,268211,17452,250350,409
2022-01-03,90,New Canaan,2405,2124,281,11887,41,37,4,20107,99377,72596,2868,69683,45
2022-01-03,91,New Fairfield,1768,1466,302,12740,7,4,3,10858,78239,35103,2039,33034,30
2022-01-03,92,New Hartford,686,645,41,10306,5,4,1,4885,73392,17351,819,16522,10
2022-01-03,93,New Haven,22499,20962,1537,17274,226,194,32,116924,89769,685609,26742,658275,592
2022-01-03,94,Newington,4324,4050,274,14407,117,101,16,24332,81069,108123,5293,102697,133
2022-01-03,95,New London,5002,4757,245,18624,39,33,6,28887,107555,281618,6011,275442,165
2022-01-03,96,New Milford,3620,2450,1170,13505,47,36,11,22166,82694,89364,4200,85058,106
2022-01-03,97,Newtown,3318,2654,664,11896,67,56,11,22870,81998,94736,3940,90736,60
2022-01-03,98,Norfolk,88,85,3,5399,0,0,0,772,47362,3069,101,2968,0
2022-01-03,99,North Branford,2003,1707,296,14159,23,10,13,10806,76389,45096,2372,42682,42
2022-01-03,100,North Canaan,356,347,9,10950,16,15,1,2849,87635,14692,403,14278,11
2022-01-03,101,North Haven,3785,3087,698,15982,56,49,7,20395,86117,88299,4538,83706,55
2022-01-03,102,North Stonington,617,564,53,11875,5,4,1,3620,69669,12626,707,11915,4
2022-01-03,103,Norwalk,16158,14771,1387,18193,240,207,33,82564,92961,312309,20431,291539,339
2022-01-03,104,Norwich,6819,6242,577,17589,66,57,9,34007,87719,138564,8183,130291,90
2022-01-03,105,Old Lyme,654,616,38,8952,3,3,0,6611,90487,22687,822,21852,13
2022-01-03,106,Old Saybrook,1270,1183,87,12623,61,50,11,9360,93033,38550,1522,36997,31
2022-01-03,107,Orange,1869,1649,220,13421,20,17,3,11760,84446,43257,2177,41046,34
2022-01-03,108,Oxford,1667,1475,192,12576,24,21,3,9940,74991,37084,2020,35023,41
2022-01-03,109,Plainfield,2616,2459,157,17296,38,33,5,11730,77554,46913,3079,43812,22
2022-01-03,110,Plainville,2604,2255,349,14851,47,45,2,13446,76685,61541,3196,58264,81
2022-01-03,111,Plymouth,1644,1412,232,14175,13,12,1,8700,75013,37665,1990,35631,44
2022-01-03,112,Pomfret,477,450,27,11349,4,3,1,4133,98335,17407,584,16814,9
2022-01-03,113,Portland,1017,928,89,10974,23,17,6,7545,81418,33647,1215,32408,24
2022-01-03,114,Preston,669,617,52,14465,6,6,0,3812,82422,14733,778,13939,16
2022-01-03,115,Prospect,1465,1259,206,15100,5,5,0,7395,76221,30759,1811,28907,41
2022-01-03,116,Putnam,1506,1436,70,16040,34,31,3,7448,79327,25999,1762,24224,13
2022-01-03,117,Redding,881,758,123,9664,19,15,4,7440,81615,27430,1084,26327,19
2022-01-03,118,Ridgefield,2589,2269,320,10373,61,47,14,22258,89178,82026,3173,78799,54
2022-01-03,119,Rocky Hill,2702,2421,281,13433,137,116,21,15618,77644,72861,3350,69410,101
2022-01-03,120,Roxbury,188,138,50,8736,1,0,1,1801,83690,5817,221,5594,2
2022-01-03,121,Salem,533,494,39,13054,5,5,0,3336,81705,12371,645,11717,9
2022-01-03,122,Salisbury,253,239,14,7028,1,0,1,4664,129556,18494,291,18196,7
2022-01-03,123,Scotland,85,83,2,5084,2,2,0,458,27392,1700,101,1599,0
2022-01-03,124,Seymour,2609,2292,317,15873,70,62,8,13068,79504,57810,3101,54593,116
2022-01-03,125,Sharon,194,189,5,7215,2,2,0,2083,77464,8014,245,7769,0
2022-01-03,126,Shelton,6284,5408,876,15279,181,149,32,33621,81745,138662,7590,130863,209
2022-01-03,127,Sherman,366,237,129,10083,3,0,3,2889,79587,8959,407,8536,16
2022-01-03,128,Simsbury,2082,1914,168,8198,28,23,5,20159,79382,77674,2414,75195,65
2022-01-03,129,Somers,1468,1347,121,13613,17,16,1,7537,69891,47817,1655,46098,64
2022-01-03,130,Southbury,2254,1872,382,11517,74,62,12,15848,80977,74161,2877,71211,73
2022-01-03,131,Southington,6021,5174,847,13736,111,97,14,33619,76696,154741,7359,147223,159
2022-01-03,132,South Windsor,2665,2436,229,10187,59,42,17,19225,73484,65953,3105,62783,65
2022-01-03,133,Sprague,499,451,48,17454,3,3,0,2547,89087,10810,588,10218,4
2022-01-03,134,Stafford,1082,1013,69,9098,27,20,7,6775,56966,27512,1298,26191,23
2022-01-03,135,Stamford,21682,20178,1504,16725,338,298,40,118390,91324,400324,27663,372255,406
2022-01-03,136,Sterling,536,501,35,14172,1,1,0,2508,66314,8724,627,8092,5
2022-01-03,137,Stonington,2032,1849,183,10949,42,29,13,15145,81605,59373,2474,56858,41
2022-01-03,138,Stratford,8725,7350,1375,16828,175,141,34,44124,85101,183467,10572,172676,219
2022-01-03,139,Suffield,2317,1945,372,14652,41,32,9,13176,83319,91572,2737,88789,46
2022-01-03,140,Thomaston,1322,1143,179,17545,15,14,1,5893,78208,26570,1649,24898,23
2022-01-03,141,Thompson,1246,1172,74,13285,9,5,4,6033,64325,20223,1436,18767,20
2022-01-03,142,Tolland,1439,1295,144,9844,20,11,9,10781,73752,38786,1676,37083,27
2022-01-03,143,Torrington,5167,4988,179,15177,156,138,18,27087,79565,130692,6266,124208,218
2022-01-03,144,Trumbull,5504,4753,751,15429,159,111,48,32547,91237,135760,6685,128924,151
2022-01-03,145,Union,130,121,9,15495,1,1,0,948,112992,3494,150,3342,2
2022-01-03,146,Vernon,3153,2869,284,10739,56,43,13,20190,68769,76845,3628,73129,88
2022-01-03,147,Voluntown,350,329,21,13944,6,6,0,1967,78367,6913,405,6501,7
2022-01-03,148,Wallingford,6813,6193,620,15370,188,164,24,37056,83599,195915,8336,187362,217
2022-01-03,149,Warren,90,60,30,6452,0,0,0,952,68244,3311,99,3208,4
2022-01-03,150,Washington,309,248,61,9014,2,2,0,3698,107876,15408,355,15044,9
2022-01-03,151,Waterbury,23807,20966,2841,22132,419,363,56,96628,89830,439985,30004,409283,698
2022-01-03,152,Waterford,2586,2431,155,13795,69,51,18,16808,89662,71754,3058,68633,63
2022-01-03,153,Watertown,3751,3185,566,17383,64,55,9,18003,83432,80953,4735,76101,117
2022-01-03,154,Westbrook,824,762,62,11996,6,5,1,5727,83375,19721,1007,18697,17
2022-01-03,155,West Hartford,7171,6407,764,11389,246,182,64,54398,86394,239838,8671,230957,210
2022-01-03,156,West Haven,9042,7949,1093,16554,125,110,15,44984,82358,196623,10934,185487,202
2022-01-03,157,Weston,977,870,107,9530,5,3,2,9529,92948,30632,1167,29444,21
2022-01-03,158,Westport,2812,2554,258,9870,32,23,9,28226,99070,110081,3411,106589,81
2022-01-03,159,Wethersfield,3836,3573,263,14749,46,38,8,21026,80844,91184,4619,86494,71
2022-01-03,160,Willington,505,452,53,8612,3,3,0,3816,65075,13683,569,13108,6
2022-01-03,161,Wilton,1885,1685,200,10276,50,27,23,17395,94832,59013,2237,56758,18
2022-01-03,162,Winchester,1077,1041,36,10157,10,10,0,7648,72124,28120,1244,26857,19
2022-01-03,163,Windham,4416,4151,265,17980,57,38,19,20608,83905,99205,5433,93683,89
2022-01-03,164,Windsor,4417,4141,276,15373,142,105,37,24697,85953,125076,5468,119493,115
2022-01-03,165,Windsor Locks,1701,1615,86,13233,35,33,2,9481,73759,36213,2101,34081,31
2022-01-03,166,Wolcott,2904,2550,354,17508,57,47,10,13318,80292,59717,3649,55989,79
2022-01-03,167,Woodbridge,939,836,103,10731,44,39,5,7996,91383,36725,1172,35508,45
2022-01-03,168,Woodbury,1087,900,187,11440,10,8,2,7357,77426,28931,1343,27575,13
2022-01-03,169,Woodstock,927,902,25,11797,7,7,0,6179,78633,19650,1058,18572,20
2022-01-04,1,Andover,314,271,43,9703,4,3,1,2248,69468,7672,354,7313,5
2022-01-04,2,Ansonia,3205,2708,497,17181,37,33,4,14893,79838,62532,3861,58533,138
2022-01-04,3,Ashford,453,410,43,10646,5,4,1,3110,73090,10660,522,10128,10
2022-01-04,4,Avon,1734,1628,106,9488,76,61,15,15526,84953,60056,2008,57983,65
2022-01-04,5,Barkhamsted,329,312,17,9124,7,6,1,2489,69024,9092,383,8697,12
2022-01-04,6,Beacon Falls,908,805,103,14593,7,7,0,4587,73722,19267,1083,18144,40
2022-01-04,7,Berlin,2644,2448,196,12938,44,38,6,15151,74139,62568,3172,59338,58
2022-01-04,8,Bethany,656,590,66,11824,4,3,1,4314,77758,17924,789,17115,20
2022-01-04,9,Bethel,2777,2265,512,14025,63,49,14,16730,84495,62732,3342,59331,59
2022-01-04,10,Bethlehem,463,392,71,13610,2,2,0,2590,76132,10017,541,9460,16
2022-01-04,11,Bloomfield,3182,2955,227,15002,124,104,20,18062,85154,110535,3915,106456,164
2022-01-04,12,Bolton,501,440,61,10258,6,4,2,3654,74816,12514,596,11909,9
2022-01-04,13,Bozrah,398,369,29,14600,7,7,0,2071,75972,8292,466,7821,5
2022-01-04,14,Branford,3831,3392,439,13731,72,65,7,23618,84652,100856,4552,96224,80
2022-01-04,15,Bridgeport,29703,26554,3149,20570,363,293,70,126822,87827,560873,36628,523487,758
2022-01-04,16,Bridgewater,140,89,51,8563,0,0,0,1339,81896,4467,167,4298,2
2022-01-04,17,Bristol,9874,8665,1209,16471,170,141,29,48231,80456,229549,12071,217196,282
2022-01-04,18,Brookfield,2622,2045,577,15448,21,15,6,14771,87026,53389,3106,50244,39
2022-01-04,19,Brooklyn,1397,1343,54,16888,14,14,0,6954,84067,37071,1658,35393,20
2022-01-04,20,Burlington,1112,963,149,11459,5,5,0,7314,75371,27965,1325,26613,27
2022-01-04,21,Canaan,21,21,0,1994,0,0,0,354,33618,1132,26,1106,0
2022-01-04,22,Canterbury,777,723,54,15298,2,2,0,3823,75271,14218,912,13297,9
2022-01-04,23,Canton,878,809,69,8563,37,31,6,7611,74225,28960,1002,27941,17
2022-01-04,24,Chaplin,261,243,18,11657,1,1,0,1652,73783,6292,306,5985,1
2022-01-04,25,Cheshire,3910,3424,486,13512,62,52,10,24406,84342,133374,4615,128671,88
2022-01-04,26,Chester,342,313,29,8118,18,15,3,3245,77023,14802,428,14353,21
2022-01-04,27,Clinton,1598,1485,113,12364,12,8,4,10905,84371,39921,1918,37963,40
2022-01-04,28,Colchester,2018,1801,217,12765,33,22,11,13107,82908,54260,2397,51809,54
2022-01-04,29,Colebrook,96,94,2,6857,0,0,0,816,58286,3175,105,3067,3
2022-01-04,30,Columbia,601,533,68,11173,8,7,1,4175,77617,15168,696,14464,8
2022-01-04,31,Cornwall,115,109,6,8443,1,0,1,1305,95815,3774,131,3643,0
2022-01-04,32,Coventry,1338,1170,168,10784,10,9,1,9243,74498,32390,1537,30821,32
2022-01-04,33,Cromwell,1937,1752,185,13997,58,38,20,11762,84992,56434,2331,54040,63
2022-01-04,34,Danbury,16070,14311,1759,18974,200,168,32,74607,88090,278297,19529,258389,379
2022-01-04,35,Darien,2326,2017,309,10705,11,10,1,20591,94767,72301,2850,69402,49
2022-01-04,36,Deep River,441,406,35,9926,1,1,0,3544,79766,13019,530,12475,14
2022-01-04,37,Derby,2057,1752,305,16671,22,20,2,10023,81230,40785,2490,38222,73
2022-01-04,38,Durham,944,848,96,13175,7,6,1,5812,81117,24585,1149,23421,15
2022-01-04,39,Eastford,173,164,9,9665,3,2,1,1123,62737,3781,204,3576,1
2022-01-04,40,East Granby,543,479,64,10564,3,2,1,4015,78113,14991,663,14324,4
2022-01-04,41,East Haddam,806,688,118,8959,23,11,12,6259,69568,25342,953,24373,16
2022-01-04,42,East Hampton,1489,1285,204,11633,20,14,6,9897,77320,38488,1775,36689,24
2022-01-04,43,East Hartford,9636,8866,770,19321,166,128,38,41101,82413,193523,11927,181343,253
2022-01-04,44,East Haven,5280,4538,742,18482,87,67,20,23897,83647,101457,6296,95080,81
2022-01-04,45,East Lyme,2107,1914,193,11413,55,43,12,16533,89552,76206,2496,73681,29
2022-01-04,46,Easton,846,719,127,11249,3,2,1,6549,87076,21262,1015,20229,18
2022-01-04,47,East Windsor,1473,1337,136,12624,52,39,13,8503,72875,39842,1800,37992,50
2022-01-04,48,Ellington,1606,1449,157,9753,21,14,7,11280,68501,36130,1857,34246,27
2022-01-04,49,Enfield,5726,5203,523,13115,69,62,7,31393,71905,144276,6839,137255,182
2022-01-04,50,Essex,625,569,56,9373,13,12,1,5404,81044,21047,788,20245,14
2022-01-04,51,Fairfield,8800,7751,1049,14183,218,167,51,60732,97884,307102,10376,296472,254
2022-01-04,52,Farmington,2618,2354,264,10268,54,46,8,21330,83657,96725,3092,93517,116
2022-01-04,53,Franklin,297,280,17,15469,2,2,0,1384,72083,5750,352,5391,7
2022-01-04,54,Glastonbury,3705,3319,386,10745,112,91,21,27630,80129,104658,4515,100061,82
2022-01-04,55,Goshen,289,274,15,10094,1,1,0,2349,82047,8241,353,7881,7
2022-01-04,56,Granby,980,872,108,8517,31,28,3,8212,71365,29105,1155,27919,31
2022-01-04,57,Greenwich,8293,7651,642,13197,100,76,24,60683,96567,230667,10045,220457,165
2022-01-04,58,Griswold,1969,1807,162,17071,24,18,6,9634,83527,37845,2290,35541,14
2022-01-04,59,Groton,4593,4137,456,11950,99,59,40,30178,78515,123141,5509,117532,100
2022-01-04,60,Guilford,2319,2088,231,10478,37,29,8,18964,85682,75597,2716,72841,40
2022-01-04,61,Haddam,854,785,69,10424,10,5,5,6340,77383,25078,1032,24036,10
2022-01-04,62,Hamden,9360,8058,1302,15457,202,172,30,54235,89562,347876,11253,336344,279
2022-01-04,63,Hampton,299,283,16,16232,1,1,0,1767,95928,6652,349,6302,1
2022-01-04,64,Hartford,24480,22962,1518,20048,338,297,41,105307,86243,580848,30075,550128,645
2022-01-04,65,Hartland,175,163,12,8255,4,4,0,1208,56981,4323,214,4104,5
2022-01-04,66,Harwinton,663,613,50,12232,7,5,2,4069,75074,15925,793,15113,19
2022-01-04,67,Hebron,1007,880,127,10596,12,9,3,7032,73990,25411,1183,24212,16
2022-01-04,68,Kent,258,218,40,9291,1,1,0,3667,132049,19176,303,18873,0
2022-01-04,69,Killingly,3108,2974,134,17928,70,50,20,14017,80855,55899,3693,52170,36
2022-01-04,70,Killingworth,652,586,66,10245,9,6,3,5017,78834,19333,755,18558,20
2022-01-04,71,Lebanon,915,837,78,12808,5,4,1,5653,79129,21917,1078,20828,11
2022-01-04,72,Ledyard,1944,1781,163,13296,13,12,1,12734,87094,47076,2285,44755,36
2022-01-04,73,Lisbon,556,516,40,13175,9,9,0,2903,68791,11971,660,11297,14
2022-01-04,74,Litchfield,856,772,84,10576,12,10,2,6451,79701,25855,1003,24828,24
2022-01-04,75,Lyme,171,153,18,7383,1,0,1,1811,78195,6282,208,6072,2
2022-01-04,76,Madison,1938,1784,154,10749,38,30,8,16505,91542,66502,2332,64134,36
2022-01-04,77,Manchester,7804,6877,927,13552,167,127,40,44491,77263,188366,9469,178693,204
2022-01-04,78,Mansfield,2011,1799,212,7890,28,23,5,16170,63444,87570,2214,85303,53
2022-01-04,79,Marlborough,686,602,84,10829,26,17,9,4852,76590,21438,816,20608,14
2022-01-04,80,Meriden,12294,11177,1117,20699,177,155,22,52146,87795,268715,15000,253363,352
2022-01-04,81,Middlebury,1099,916,183,14093,21,17,4,6665,85471,29908,1358,28497,53
2022-01-04,82,Middlefield,430,385,45,9831,2,1,1,3405,77846,14114,554,13548,12
2022-01-04,83,Middletown,6689,6050,639,14460,160,124,36,40619,87810,396284,8473,387545,266
2022-01-04,84,Milford,7847,6970,877,14333,149,131,18,42236,77148,169875,9412,160307,156
2022-01-04,85,Monroe,2667,2164,503,13723,17,13,4,15970,82176,58301,3176,55083,42
2022-01-04,86,Montville,2913,2680,233,15739,40,36,4,15645,84531,82364,3395,78902,67
2022-01-04,87,Morris,233,218,15,10337,3,3,0,1695,75200,6386,267,6115,4
2022-01-04,88,Naugatuck,5606,4781,825,18021,111,98,13,25142,80822,123431,7129,116045,257
2022-01-04,89,New Britain,14613,13503,1110,20157,232,193,39,59216,81683,269553,17873,251268,412
2022-01-04,90,New Canaan,2420,2132,288,11961,41,37,4,20138,99530,72761,2893,69823,45
2022-01-04,91,New Fairfield,1816,1488,328,13085,7,4,3,10903,78563,35283,2096,33157,30
2022-01-04,92,New Hartford,707,660,47,10622,5,4,1,4899,73603,17425,841,16574,10
2022-01-04,93,New Haven,22976,21338,1638,17640,230,198,32,117172,89959,687277,27349,659335,593
2022-01-04,94,Newington,4432,4146,286,14766,119,102,17,24404,81309,108569,5412,103024,133
2022-01-04,95,New London,5080,4825,255,18914,39,33,6,28914,107655,281873,6103,275605,165
2022-01-04,96,New Milford,3667,2469,1198,13680,47,36,11,22214,82873,89613,4258,85248,107
2022-01-04,97,Newtown,3398,2702,696,12183,68,57,11,22950,82285,95243,4054,91127,62
2022-01-04,98,Norfolk,88,85,3,5399,0,0,0,771,47301,3071,101,2970,0
2022-01-04,99,North Branford,2055,1727,328,14527,23,10,13,10842,76644,45273,2431,42800,42
2022-01-04,100,North Canaan,360,351,9,11074,16,15,1,2849,87635,14712,407,14294,11
2022-01-04,101,North Haven,3859,3113,746,16294,58,51,7,20441,86311,88644,4635,83954,55
2022-01-04,102,North Stonington,620,567,53,11932,5,4,1,3622,69707,12654,711,11939,4
2022-01-04,103,Norwalk,16472,14944,1528,18546,241,207,34,82779,93203,313764,20881,292544,339
2022-01-04,104,Norwich,6999,6319,680,18054,66,57,9,34098,87954,139218,8403,130725,90
2022-01-04,105,Old Lyme,659,620,39,9020,3,3,0,6617,90569,22728,829,21886,13
2022-01-04,106,Old Saybrook,1277,1190,87,12693,61,50,11,9362,93052,38607,1531,37045,31
2022-01-04,107,Orange,1898,1670,228,13629,20,17,3,11781,84597,43382,2214,41133,35
2022-01-04,108,Oxford,1703,1499,204,12848,24,21,3,9975,75255,37254,2060,35153,41
2022-01-04,109,Plainfield,2642,2475,167,17468,39,34,5,11742,77633,47047,3118,43907,22
2022-01-04,110,Plainville,2640,2280,360,15056,47,45,2,13467,76805,61722,3249,58393,80
2022-01-04,111,Plymouth,1674,1425,249,14434,14,12,2,8716,75151,37786,2022,35720,44
2022-01-04,112,Pomfret,479,452,27,11397,5,4,1,4139,98477,17433,587,16837,9
2022-01-04,113,Portland,1034,944,90,11158,24,18,6,7552,81493,33722,1236,32462,24
2022-01-04,114,Preston,677,621,56,14638,6,6,0,3821,82616,14778,787,13975,16
2022-01-04,115,Prospect,1483,1273,210,15286,6,6,0,7403,76304,30862,1834,28985,43
2022-01-04,116,Putnam,1526,1456,70,16253,34,31,3,7463,79487,26070,1785,24272,13
2022-01-04,117,Redding,893,767,126,9796,19,15,4,7451,81735,27478,1106,26353,19
2022-01-04,118,Ridgefield,2636,2296,340,10561,61,47,14,22291,89310,82349,3240,79055,54
2022-01-04,119,Rocky Hill,2748,2464,284,13661,137,116,21,15646,77783,73090,3402,69587,101
2022-01-04,120,Roxbury,193,139,54,8968,1,0,1,1804,83829,5842,226,5614,2
2022-01-04,121,Salem,539,498,41,13201,5,5,0,3338,81754,12390,652,11729,9
2022-01-04,122,Salisbury,256,242,14,7111,1,0,1,4673,129806,18513,294,18212,7
2022-01-04,123,Scotland,85,83,2,5084,2,2,0,456,27273,1699,101,1598,0
2022-01-04,124,Seymour,2668,2330,338,16232,70,62,8,13085,79607,58025,3168,54741,116
2022-01-04,125,Sharon,198,193,5,7363,2,2,0,2088,77650,8043,250,7793,0
